value_name,value
district_stunting_min,7.53
district_stunting_max,34.58
district_stunting_median,15.99
stunting_moran_I,0.9366
stunting_moran_p,0.002
stunting_phi_spatial,0.368
stunting_hotspots_P95,31.0
stunting_lisa_HH,27.0
stunting_gwr_dAICc,320.53
stunting_xgb_LOROCV_R2,0.379
stunting_hotspot_AUCPR,0.773
district_anaemia_min,30.47
district_anaemia_max,74.41
district_anaemia_median,45.12
anaemia_moran_I,0.9587
anaemia_moran_p,0.002
anaemia_phi_spatial,0.349
anaemia_hotspots_P95,60.0
anaemia_lisa_HH,51.0
anaemia_gwr_dAICc,368.08
anaemia_xgb_LOROCV_R2,0.82
anaemia_hotspot_AUCPR,0.947
district_iycf_min,58.52
district_iycf_max,91.84
district_iycf_median,75.79
iycf_moran_I,0.836
iycf_moran_p,0.002
iycf_phi_spatial,0.369
iycf_hotspots_P95,37.0
iycf_lisa_HH,31.0
iycf_gwr_dAICc,248.8
iycf_xgb_LOROCV_R2,-0.065
iycf_hotspot_AUCPR,0.417
district_diarrhoea_min,4.16
district_diarrhoea_max,34.09
district_diarrhoea_median,12.73
diarrhoea_moran_I,0.821
diarrhoea_moran_p,0.002
diarrhoea_phi_spatial,0.348
diarrhoea_hotspots_P95,51.0
diarrhoea_lisa_HH,30.0
diarrhoea_gwr_dAICc,224.96
diarrhoea_xgb_LOROCV_R2,-0.064
diarrhoea_hotspot_AUCPR,0.476
