district_id,district,region,stunting_x_anaemia_I,stunting_x_anaemia_cat,stunting_x_iycf_I,stunting_x_iycf_cat,stunting_x_diarrhoea_I,stunting_x_diarrhoea_cat,anaemia_x_iycf_I,anaemia_x_iycf_cat,anaemia_x_diarrhoea_I,anaemia_x_diarrhoea_cat,iycf_x_diarrhoea_I,iycf_x_diarrhoea_cat
1,Asunafo North Municipal,Ahafo,-0.0697,ns,0.057,ns,-0.0156,ns,-0.7634,ns,0.2088,ns,-0.0869,ns
2,Asunafo South,Ahafo,-0.1824,ns,0.1035,ns,0.0077,ns,-0.3459,ns,-0.0258,ns,0.0146,ns
3,Asutifi North,Ahafo,-0.0374,HL,0.0182,ns,-0.0192,ns,-0.5752,ns,0.6078,ns,-0.1914,ns
4,Asutifi South,Ahafo,-0.2514,HL,0.0954,ns,0.008,ns,-0.3683,ns,-0.0308,ns,0.0149,ns
5,Tano North Municipal,Ahafo,-0.1205,HL,0.0619,ns,-0.0091,ns,-0.5372,ns,0.0787,ns,-0.014,ns
6,Tano South Municipal,Ahafo,-0.28,ns,0.2204,ns,0.3273,ns,-0.5063,ns,-0.7519,ns,0.2424,ns
7,Adansi Asokwa,Ashanti,-0.1805,ns,-0.0119,ns,0.3208,ns,0.0077,ns,-0.2077,ns,0.1316,ns
8,Adansi North,Ashanti,0.0172,ns,0.0011,ns,-0.0306,ns,0.021,ns,-0.5664,ns,-0.027,ns
9,Adansi South,Ashanti,-0.0938,ns,0.0929,ns,0.4584,ns,-0.0499,ns,-0.246,ns,0.3502,ns
10,Afigya Kwabre North,Ashanti,-0.2723,ns,0.1479,ns,0.748,ns,-0.0648,ns,-0.3277,ns,0.2281,ns
11,Afigya Kwabre South,Ashanti,-0.1419,ns,-0.048,ns,0.1621,ns,0.1548,ns,-0.523,ns,-0.1664,ns
12,Ahafo Ano North Municipal,Ashanti,-0.2557,HL,0.0819,ns,-0.0675,ns,-0.283,ns,0.2334,ns,-0.1479,ns
13,Ahafo Ano South East,Ashanti,-0.2901,ns,0.2469,ns,0.5118,ns,-0.1232,ns,-0.2553,ns,0.6099,ns
14,Ahafo Ano South West,Ashanti,-0.1826,ns,0.1554,ns,0.3222,ns,-0.1676,ns,-0.3474,ns,0.6592,ns
15,Akrofuom,Ashanti,-0.0915,ns,-0.0219,ns,0.1701,ns,0.0118,ns,-0.0918,ns,-0.0338,ns
16,Amansie Central,Ashanti,-0.0355,ns,-0.0135,ns,0.1027,ns,0.0335,ns,-0.2556,ns,0.0731,ns
17,Amansie South,Ashanti,-0.014,ns,0.001,ns,0.0311,ns,-0.0023,ns,-0.0718,ns,-0.0872,ns
18,Amansie West,Ashanti,-0.119,ns,0.0191,ns,0.3657,ns,-0.0037,ns,-0.0717,ns,-0.1179,ns
19,Asante Akim Central Municipal,Ashanti,-0.0703,ns,0.0273,ns,0.1628,HH,-0.1445,ns,-0.8614,LH,-0.0798,LH
20,Asante Akim North Municipal,Ashanti,-0.0756,ns,0.0595,ns,0.2633,HH,-0.1703,ns,-0.7535,LH,0.324,HH
21,Asante Akim South Municipal,Ashanti,-0.2127,ns,0.103,ns,0.4589,ns,-0.1313,ns,-0.5846,ns,0.3375,ns
22,Asokore Mampong Municipal,Ashanti,0.1927,LL,0.1367,ns,-0.0048,ns,0.6695,ns,-0.0235,ns,-0.0134,ns
23,Asokwa Municipal,Ashanti,0.4627,LL,0.3082,ns,0.0019,ns,0.8542,ns,0.0054,ns,0.0021,ns
24,Atwima Kwanwoma,Ashanti,0.1657,ns,0.1088,ns,0.0309,ns,0.73,ns,0.207,ns,0.0956,ns
25,Atwima Mponua,Ashanti,-0.0781,ns,0.0438,ns,0.098,ns,-0.1034,ns,-0.2313,ns,0.29,ns
