district_id,district,region,stunting_giz,stunting_class,anaemia_giz,anaemia_class,iycf_giz,iycf_class,diarrhoea_giz,diarrhoea_class
1,Asunafo North Municipal,Ahafo,-0.322,ns,-2.297,coldspot,1.701,ns,-0.613,ns
2,Asunafo South,Ahafo,-0.039,ns,-1.706,ns,0.967,ns,0.105,ns
3,Asutifi North,Ahafo,-0.176,ns,-2.599,coldspot,1.181,ns,-1.308,ns
4,Asutifi South,Ahafo,0.48,ns,-2.688,coldspot,1.059,ns,0.023,ns
5,Tano North Municipal,Ahafo,0.253,ns,-2.725,coldspot,1.26,ns,-0.365,ns
6,Tano South Municipal,Ahafo,0.869,ns,-1.859,ns,1.285,ns,1.664,ns
7,Adansi Asokwa,Ashanti,0.409,ns,-1.162,ns,-0.012,ns,2.524,hotspot
8,Adansi North,Ashanti,0.252,ns,-1.323,ns,-0.082,ns,2.256,hotspot
9,Adansi South,Ashanti,0.549,ns,-0.502,ns,0.538,ns,2.823,hotspot
10,Afigya Kwabre North,Ashanti,1.024,ns,-0.907,ns,0.511,ns,2.869,hotspot
11,Afigya Kwabre South,Ashanti,0.558,ns,-2.054,coldspot,-0.69,ns,2.426,hotspot
12,Ahafo Ano North Municipal,Ashanti,0.545,ns,-2.056,coldspot,0.786,ns,-0.188,ns
13,Ahafo Ano South East,Ashanti,0.975,ns,-1.196,ns,1.193,ns,2.575,hotspot
14,Ahafo Ano South West,Ashanti,0.891,ns,-1.237,ns,1.215,ns,2.528,hotspot
15,Akrofuom,Ashanti,0.35,ns,-1.006,ns,-0.247,ns,2.173,hotspot
16,Amansie Central,Ashanti,0.416,ns,-0.947,ns,-0.296,ns,2.809,hotspot
17,Amansie South,Ashanti,-0.047,ns,-0.682,ns,-0.006,ns,1.797,ns
18,Amansie West,Ashanti,0.426,ns,-0.593,ns,0.034,ns,2.313,hotspot
19,Asante Akim Central Municipal,Ashanti,0.685,ns,-1.473,ns,0.442,ns,3.041,hotspot
20,Asante Akim North Municipal,Ashanti,1.04,ns,-1.203,ns,0.879,ns,3.857,hotspot
21,Asante Akim South Municipal,Ashanti,0.534,ns,-1.072,ns,0.543,ns,2.36,hotspot
22,Asokore Mampong Municipal,Ashanti,-0.67,ns,-2.902,coldspot,-2.013,coldspot,0.083,ns
23,Asokwa Municipal,Ashanti,-0.889,ns,-2.868,coldspot,-1.78,ns,-0.05,ns
24,Atwima Kwanwoma,Ashanti,-0.573,ns,-1.927,ns,-1.161,ns,-0.017,ns
25,Atwima Mponua,Ashanti,0.113,ns,-1.394,ns,0.875,ns,1.941,ns
26,Atwima Nwabiagya North,Ashanti,0.862,ns,-1.024,ns,0.694,ns,2.946,hotspot
27,Atwima Nwabiagya South Municipal,Ashanti,0.504,ns,-2.096,coldspot,0.483,ns,-0.361,ns
28,Bekwai Municipal,Ashanti,0.576,ns,-0.842,ns,0.183,ns,3.065,hotspot
29,Bosome Freho,Ashanti,0.809,ns,-1.401,ns,0.306,ns,3.643,hotspot
30,Bosomtwi,Ashanti,0.444,ns,-1.107,ns,0.344,ns,2.343,hotspot
31,Ejisu Municipal,Ashanti,-0.057,ns,-2.05,coldspot,-1.077,ns,1.107,ns
32,Ejura Sekyedumase Municipal,Ashanti,1.209,ns,-0.513,ns,3.016,hotspot,3.395,hotspot
33,Juaben Municipal,Ashanti,0.543,ns,-1.069,ns,0.418,ns,2.297,hotspot
34,"Kumasi Metropolitan Area (KMA)-Bantama, Manhyia North, Manhyia South, Nhyiaeso, & Subin",Ashanti,-0.876,ns,-2.847,coldspot,-2.019,coldspot,-0.141,ns
35,Kwabre East,Ashanti,-0.009,ns,-2.052,coldspot,-1.048,ns,1.187,ns
36,Kwadaso Municipal,Ashanti,-0.788,ns,-2.108,coldspot,-1.4,ns,-0.41,ns
37,Mampong Municipal,Ashanti,0.984,ns,-0.667,ns,1.03,ns,3.257,hotspot
38,Obuasi East,Ashanti,0.225,ns,-1.098,ns,-0.252,ns,1.948,ns
39,Obuasi Municipal,Ashanti,0.253,ns,-1.12,ns,-0.198,ns,2.201,hotspot
40,Offinso Municipal,Ashanti,1.316,ns,-1.054,ns,1.29,ns,3.914,hotspot
41,Offinso North,Ashanti,0.586,ns,-1.764,ns,2.553,hotspot,1.297,ns
42,Oforikrom Municipal,Ashanti,-0.859,ns,-2.27,coldspot,-1.593,ns,-0.424,ns
