district_id,district,region,stunting_b_poverty_intensity,stunting_b_illiteracy_rate,stunting_b_nhis_uninsured_rate,anaemia_b_poverty_intensity,anaemia_b_illiteracy_rate,anaemia_b_nhis_uninsured_rate,iycf_b_poverty_intensity,iycf_b_illiteracy_rate,iycf_b_nhis_uninsured_rate,diarrhoea_b_poverty_intensity,diarrhoea_b_illiteracy_rate,diarrhoea_b_nhis_uninsured_rate
1,Asunafo North Municipal,Ahafo,0.1877,-0.1219,0.0682,-0.0998,0.1563,0.0428,-0.1875,0.1079,-0.0034,-0.1176,-0.0168,0.2128
2,Asunafo South,Ahafo,0.1124,-0.1557,0.0838,0.0161,0.1828,0.0267,-0.1567,0.1223,0.0171,-0.0332,-0.0143,0.1522
3,Asutifi North,Ahafo,0.176,0.0424,0.0752,-0.0859,0.0312,0.0811,-0.1583,0.1485,-0.0304,-0.0357,0.0848,0.315
4,Asutifi South,Ahafo,0.1211,-0.0329,0.0685,-0.0565,0.0796,0.0787,-0.1212,0.164,-0.0101,-0.0758,0.0356,0.2626
5,Tano North Municipal,Ahafo,0.1313,0.108,0.157,-0.0615,0.0659,0.1068,-0.2207,0.1958,-0.0842,0.0167,0.0401,0.5877
6,Tano South Municipal,Ahafo,0.1578,0.1308,0.1041,-0.0052,0.1074,0.1038,-0.2555,0.2068,-0.0998,0.138,0.0415,0.5705
7,Adansi Asokwa,Ashanti,0.0479,-0.057,0.1145,0.0952,0.1808,0.0463,-0.1312,0.1437,0.0292,-0.0265,0.0151,0.2273
8,Adansi North,Ashanti,0.0274,0.1419,0.0168,0.0919,0.2713,0.0077,-0.1225,0.1871,0.0144,-0.0535,0.3002,0.0942
9,Adansi South,Ashanti,0.029,-0.353,0.3001,0.0842,0.0185,0.1222,-0.1135,0.1829,0.0092,-0.0476,-0.3053,0.409
10,Afigya Kwabre North,Ashanti,0.2209,0.2196,0.0472,0.1461,0.238,0.0711,-0.0097,0.3393,-0.0682,0.2825,0.2174,0.3331
11,Afigya Kwabre South,Ashanti,0.1654,0.255,0.0042,0.1463,0.2447,0.0776,0.0071,0.3422,0.022,0.1994,0.3815,0.1416
12,Ahafo Ano North Municipal,Ashanti,0.0672,0.1231,0.0684,0.0257,0.0406,0.143,-0.1023,0.1662,0.0015,0.0203,0.0828,0.4055
13,Ahafo Ano South East,Ashanti,0.1709,0.2203,0.0076,0.1558,0.1468,0.1867,-0.013,0.2672,0.0179,0.2411,0.1488,0.4245
14,Ahafo Ano South West,Ashanti,0.0973,0.2049,-0.0114,0.1259,0.1533,0.1488,-0.0504,0.2738,-0.0032,0.1208,0.1736,0.3013
15,Akrofuom,Ashanti,0.0277,-0.1283,0.0943,0.0844,0.1321,0.0509,-0.148,0.13,0.0269,-0.1404,-0.3221,0.2308
16,Amansie Central,Ashanti,0.0485,0.0304,0.0399,0.0876,0.2613,-0.0084,-0.1215,0.1403,0.0109,-0.0735,-0.0231,0.1301
