district_id,district,region,stunting_lisa_I,stunting_lisa_p,stunting_lisa_cat,anaemia_lisa_I,anaemia_lisa_p,anaemia_lisa_cat,iycf_lisa_I,iycf_lisa_p,iycf_lisa_cat,diarrhoea_lisa_I,diarrhoea_lisa_p,diarrhoea_lisa_cat
1,Asunafo North Municipal,Ahafo,-0.0133,0.708,ns,0.9338,0.016,LL,0.3177,0.152,ns,0.0938,0.696,ns
2,Asunafo South,Ahafo,-0.0204,0.96,ns,0.6094,0.132,ns,0.1955,0.362,ns,0.0034,0.928,ns
3,Asutifi North,Ahafo,-0.0034,0.886,ns,1.1843,0.004,LL,0.1812,0.246,ns,0.2795,0.224,ns
4,Asutifi South,Ahafo,0.0416,0.632,ns,0.9706,0.004,LL,0.1779,0.338,ns,-0.0041,0.922,ns
5,Tano North Municipal,Ahafo,0.0107,0.822,ns,1.046,0.008,LL,0.0958,0.194,ns,0.0362,0.928,ns
6,Tano South Municipal,Ahafo,0.1332,0.396,ns,0.6433,0.082,ns,0.1632,0.244,ns,-0.1222,0.084,ns
7,Adansi Asokwa,Ashanti,0.0448,0.714,ns,0.1168,0.242,ns,-0.0049,0.926,ns,1.3936,0.058,ns
8,Adansi North,Ashanti,-0.0043,0.762,ns,0.3187,0.264,ns,0.001,0.972,ns,0.7943,0.058,ns
9,Adansi South,Ashanti,0.0861,0.626,ns,0.0503,0.678,ns,0.071,0.624,ns,2.1716,0.042,ns
10,Afigya Kwabre North,Ashanti,0.2578,0.432,ns,0.1193,0.39,ns,0.0451,0.698,ns,1.903,0.024,ns
11,Afigya Kwabre South,Ashanti,0.0378,0.572,ns,0.4577,0.032,ns,0.0493,0.55,ns,0.7783,0.03,ns
12,Ahafo Ano North Municipal,Ashanti,0.0662,0.55,ns,0.8841,0.022,ns,0.1794,0.546,ns,-0.142,0.692,ns
13,Ahafo Ano South East,Ashanti,0.2004,0.368,ns,0.1448,0.256,ns,0.2943,0.298,ns,1.4961,0.054,ns
14,Ahafo Ano South West,Ashanti,0.1262,0.422,ns,0.1969,0.236,ns,0.3181,0.252,ns,1.3905,0.058,ns
