district_id,district,region,lat,lon,urban_class,urbanicity,total_pop,log_pop,poverty_incidence,poverty_intensity,illiteracy_rate,nhis_uninsured_rate,employment_rate,under15_share,improved_water_pct,improved_sanitation_pct,women_literate_pct,stunting_region_pct,anaemia_region_pct,iycf_region_pct,diarrhoea_region_pct,stunting_district_pct,stunting_district_lo95,stunting_district_hi95,stunting_exceedance_prob,stunting_lisa_cluster,stunting_gistar_class,anaemia_district_pct,anaemia_district_lo95,anaemia_district_hi95,anaemia_exceedance_prob,anaemia_lisa_cluster,anaemia_gistar_class,iycf_district_pct,iycf_district_lo95,iycf_district_hi95,iycf_exceedance_prob,iycf_lisa_cluster,iycf_gistar_class,diarrhoea_district_pct,diarrhoea_district_lo95,diarrhoea_district_hi95,diarrhoea_exceedance_prob,diarrhoea_lisa_cluster,diarrhoea_gistar_class
1,Asunafo North Municipal,Ahafo,6.81509969999999,-2.67736640122449,Municipal,2,151258,11.926742267056309,26.1,42.0,26.321913551679916,14.236602361527986,53.1759687606252,35.83347657644554,83.3,54.2,48.3,17.0,35.4,79.2,12.3,16.88,9.78,25.96,0.466,ns,ns,34.62,24.61,46.02,0.01,LL,coldspot,79.36,69.5,87.61,0.764,ns,ns,11.41,5.98,19.67,0.162,ns,ns
2,Asunafo South,Ahafo,6.56280465,-2.53279356335542,District,1,91693,11.426201319452964,26.2,42.7,28.8931543302106,47.49544676256639,56.48513139695712,36.91993936287394,83.3,54.2,48.3,17.0,35.4,79.2,12.3,17.78,10.33,27.7,0.546,ns,ns,38.49,26.96,51.74,0.071,ns,ns,79.26,66.53,88.87,0.732,ns,ns,15.32,7.4,26.44,0.5,ns,ns
3,Asutifi North,Ahafo,7.07651835,-2.52531850396715,District,1,73556,11.205802299860744,26.6,43.1,25.55060090271358,17.297025395616945,51.40601978530836,35.40975583229104,83.3,54.2,48.3,17.0,35.4,79.2,12.3,16.6,9.46,26.12,0.444,ns,ns,34.69,23.86,46.35,0.012,LL,coldspot,78.58,66.74,87.57,0.702,ns,ns,11.35,5.67,19.93,0.174,ns,ns
4,Asutifi South,Ahafo,6.84924284999999,-2.46125343688365,District,1,67334,11.117420588656316,23.2,42.4,29.25862120177028,21.67255769744854,50.879343674855015,37.00359402382155,83.3,54.2,48.3,17.0,35.4,79.2,12.3,17.93,10.53,27.62,0.55,ns,ns,35.79,24.62,47.44,0.022,LL,coldspot,79.55,68.08,88.35,0.77,ns,ns,13.77,6.66,23.65,0.376,ns,ns
5,Tano North Municipal,Ahafo,7.19329065,-2.2080833699397,Municipal,2,93838,11.44932517022726,21.6,42.3,23.449988277670027,14.104094290159637,51.50472633148212,34.950659647477565,83.3,54.2,48.3,17.0,35.4,79.2,12.3,17.19,10.13,26.99,0.5,ns,ns,33.78,23.7,45.02,0.007,LL,coldspot,77.64,66.06,86.74,0.644,ns,ns,11.13,5.68,20.0,0.148,ns,ns
6,Tano South Municipal,Ahafo,7.16093674999999,-1.99681708617696,Municipal,2,86989,11.373536952861308,23.7,42.6,27.90582717355068,20.452011173826577,52.58395590048597,36.60347860074262,83.3,54.2,48.3,17.0,35.4,79.2,12.3,18.84,11.59,28.36,0.671,ns,ns,36.43,26.45,47.09,0.02,ns,ns,78.32,67.93,86.79,0.696,ns,ns,13.63,7.47,22.71,0.352,ns,ns
7,Adansi Asokwa,Ashanti,6.2467263,-1.50841,District,1,71844,11.182252380713352,32.4,43.3,28.261232670786704,50.14893380101331,51.88596104697277,36.82423027671065,96.8,84.7,61.5,17.0,40.6,75.4,19.2,18.35,13.38,23.88,0.723,ns,ns,45.47,37.36,54.05,0.284,ns,ns,77.14,66.31,86.31,0.607,ns,ns,24.06,16.21,33.18,0.993,ns,hotspot
8,Adansi North,Ashanti,6.3006124,-1.5897139446089,District,1,54155,10.899605584269835,19.7,42.8,18.15714153817745,27.633644169513435,48.48240142570729,33.68664019942757,96.8,84.7,61.5,17.0,40.6,75.4,19.2,16.21,12.17,20.81,0.388,ns,ns,40.93,33.88,48.38,0.034,ns,ns,76.01,66.95,84.4,0.502,ns,ns,20.01,13.92,26.98,0.948,ns,hotspot
9,Adansi South,Ashanti,6.00427495,-1.39314032189093,District,1,85200,11.352756712817406,35.0,43.2,27.070422535211268,46.093896713615024,54.97467673413354,36.73356807511737,96.8,84.7,61.5,17.0,40.6,75.4,19.2,18.34,13.03,24.54,0.698,ns,ns,45.93,36.7,55.4,0.336,ns,ns,77.94,65.83,87.92,0.641,ns,ns,24.86,15.93,35.62,0.988,ns,hotspot
10,Afigya Kwabre North,Ashanti,7.03891495,-1.62667127242319,District,1,73330,11.202725081087843,25.2,43.7,23.97927178508114,30.1200054547934,48.214809963641294,39.614073366971226,96.8,84.7,61.5,17.0,40.6,75.4,19.2,19.92,14.94,25.53,0.878,ns,ns,44.89,36.73,53.18,0.237,ns,ns,77.46,67.0,86.16,0.63,ns,ns,24.59,16.49,33.77,0.994,ns,hotspot
11,Afigya Kwabre South,Ashanti,6.83998064999999,-1.60957900170106,District,1,234667,12.365922766925609,13.0,43.3,13.424980930424814,24.97112930237315,50.70324486168278,36.950231604784655,96.8,84.7,61.5,17.0,40.6,75.4,19.2,17.58,13.22,22.63,0.62,ns,ns,40.16,33.06,47.79,0.022,ns,coldspot,74.78,64.33,83.78,0.417,ns,ns,20.95,14.19,28.45,0.965,ns,hotspot
12,Ahafo Ano North Municipal,Ashanti,6.90966445,-2.23301229669742,Municipal,2,92742,11.437576723380374,26.5,41.2,24.91643484074098,30.63768303465528,56.881374401934245,36.67270492333571,96.8,84.7,61.5,17.0,40.6,75.4,19.2,17.71,13.92,22.08,0.654,ns,ns,38.66,32.09,45.76,0.007,ns,coldspot,79.57,72.82,85.48,0.866,ns,ns,17.71,12.27,24.3,0.834,ns,ns
13,Ahafo Ano South East,Ashanti,6.94633355,-1.90095355028736,District,1,63468,11.05829112085398,31.8,42.5,32.23514211886305,32.33755593369887,53.70530000261213,39.68141425600302,96.8,84.7,61.5,17.0,40.6,75.4,19.2,19.5,14.37,25.29,0.844,ns,ns,44.88,36.65,53.64,0.25,ns,ns,80.53,70.53,88.91,0.839,ns,ns,24.71,16.22,34.46,0.992,ns,hotspot
14,Ahafo Ano South West,Ashanti,6.8289788,-2.00038660056909,District,1,65770,11.093919086295395,31.9,41.8,31.427702599969592,37.518625513151896,55.605555690691055,37.49277786224722,96.8,84.7,61.5,17.0,40.6,75.4,19.2,18.35,13.71,23.61,0.737,ns,ns,43.72,35.87,52.23,0.164,ns,ns,80.88,71.26,88.64,0.856,ns,ns,24.0,16.07,32.87,0.991,ns,hotspot
15,Akrofuom,Ashanti,6.03262245,-1.67136425707588,District,1,49291,10.805496787584511,37.0,44.2,30.03388042441825,42.83946359375951,50.68867924528302,35.48517985027693,96.8,84.7,61.5,17.0,40.6,75.4,19.2,17.74,12.94,22.91,0.64,ns,ns,46.59,38.21,55.37,0.378,ns,ns,75.89,64.23,85.46,0.507,ns,ns,21.41,14.34,29.81,0.97,ns,hotspot
16,Amansie Central,Ashanti,6.20744165,-1.82814118592735,District,1,93052,11.440913755659937,28.6,43.3,29.44160254481365,33.994970554098785,55.37051083336082,34.8256888621416,96.8,84.7,61.5,17.0,40.6,75.4,19.2,17.03,12.31,22.19,0.536,ns,ns,44.82,36.0,54.0,0.247,ns,ns,76.73,64.66,86.58,0.566,ns,ns,20.97,13.43,30.02,0.936,ns,hotspot
17,Amansie South,Ashanti,6.30802585,-2.01186652006877,District,1,113155,11.636513839214846,30.3,44.4,30.172771861605764,48.13839423799214,54.39064178570008,33.36662100658389,96.8,84.7,61.5,17.0,40.6,75.4,19.2,16.65,11.67,22.32,0.472,ns,ns,46.88,37.17,57.3,0.42,ns,ns,75.37,60.61,86.74,0.494,ns,ns,20.37,12.19,30.12,0.894,ns,ns
18,Amansie West,Ashanti,6.43975084999999,-1.85237045719587,District,1,112627,11.631836752799584,31.0,44.7,26.997078853205718,43.01810400703207,47.78673158174544,36.53564420609623,96.8,84.7,61.5,17.0,40.6,75.4,19.2,18.55,13.29,24.35,0.721,ns,ns,47.22,38.13,56.75,0.442,ns,ns,75.39,62.0,86.13,0.487,ns,ns,22.85,14.47,33.06,0.968,ns,hotspot
