region,stunting_pct,anaemia_pct,iycf_inadeq_pct,diarrhoea_pct,improved_water_pct,improved_sanitation_pct,women_literate_pct
Western,14.0,46.1,75.0,6.6,94.3,72.6,65.4
Central,17.0,44.7,72.8,17.2,91.8,72.0,72.9
Greater Accra,11.0,36.2,70.0,10.7,98.5,91.4,79.2
Volta,14.0,51.3,76.0,10.7,88.4,67.7,72.0
Eastern,10.0,38.3,76.0,10.2,88.7,74.7,66.7
Ashanti,17.0,40.6,75.4,19.2,96.8,84.7,61.5
Western North,11.0,45.1,79.7,14.1,83.4,51.7,47.8
Ahafo,17.0,35.4,79.2,12.3,83.3,54.2,48.3
Bono,14.0,40.1,81.2,10.3,92.2,71.3,61.5
Bono East,17.0,51.4,89.4,16.3,86.4,57.2,44.9
Oti,20.0,60.6,76.3,16.9,66.9,48.7,40.8
Northern,30.0,69.4,86.1,23.9,72.0,29.9,34.1
Savannah,21.0,62.8,89.5,24.2,61.9,26.5,30.9
North East,29.0,64.9,65.5,19.9,59.3,21.9,27.2
Upper East,21.0,69.3,66.1,9.1,96.8,30.0,55.2
Upper West,17.0,61.2,73.7,9.2,97.9,26.9,51.0
