district_id,district,region,stunting_mean,stunting_lo,stunting_hi,stunting_exceed,anaemia_mean,anaemia_lo,anaemia_hi,anaemia_exceed,iycf_mean,iycf_lo,iycf_hi,iycf_exceed,diarrhoea_mean,diarrhoea_lo,diarrhoea_hi,diarrhoea_exceed
1,Asunafo North Municipal,Ahafo,16.88,9.78,25.96,0.466,34.62,24.61,46.02,0.01,79.36,69.5,87.61,0.764,11.41,5.98,19.67,0.162
2,Asunafo South,Ahafo,17.78,10.33,27.7,0.546,38.49,26.96,51.74,0.071,79.26,66.53,88.87,0.732,15.32,7.4,26.44,0.5
3,Asutifi North,Ahafo,16.6,9.46,26.12,0.444,34.69,23.86,46.35,0.012,78.58,66.74,87.57,0.702,11.35,5.67,19.93,0.174
4,Asutifi South,Ahafo,17.93,10.53,27.62,0.55,35.79,24.62,47.44,0.022,79.55,68.08,88.35,0.77,13.77,6.66,23.65,0.376
5,Tano North Municipal,Ahafo,17.19,10.13,26.99,0.5,33.78,23.7,45.02,0.007,77.64,66.06,86.74,0.644,11.13,5.68,20.0,0.148
6,Tano South Municipal,Ahafo,18.84,11.59,28.36,0.671,36.43,26.45,47.09,0.02,78.32,67.93,86.79,0.696,13.63,7.47,22.71,0.352
7,Adansi Asokwa,Ashanti,18.35,13.38,23.88,0.723,45.47,37.36,54.05,0.284,77.14,66.31,86.31,0.607,24.06,16.21,33.18,0.993
8,Adansi North,Ashanti,16.21,12.17,20.81,0.388,40.93,33.88,48.38,0.034,76.01,66.95,84.4,0.502,20.01,13.92,26.98,0.948
9,Adansi South,Ashanti,18.34,13.03,24.54,0.698,45.93,36.7,55.4,0.336,77.94,65.83,87.92,0.641,24.86,15.93,35.62,0.988
10,Afigya Kwabre North,Ashanti,19.92,14.94,25.53,0.878,44.89,36.73,53.18,0.237,77.46,67.0,86.16,0.63,24.59,16.49,33.77,0.994
11,Afigya Kwabre South,Ashanti,17.58,13.22,22.63,0.62,40.16,33.06,47.79,0.022,74.78,64.33,83.78,0.417,20.95,14.19,28.45,0.965
12,Ahafo Ano North Municipal,Ashanti,17.71,13.92,22.08,0.654,38.66,32.09,45.76,0.007,79.57,72.82,85.48,0.866,17.71,12.27,24.3,0.834
13,Ahafo Ano South East,Ashanti,19.5,14.37,25.29,0.844,44.88,36.65,53.64,0.25,80.53,70.53,88.91,0.839,24.71,16.22,34.46,0.992
14,Ahafo Ano South West,Ashanti,18.35,13.71,23.61,0.737,43.72,35.87,52.23,0.164,80.88,71.26,88.64,0.856,24.0,16.07,32.87,0.991
15,Akrofuom,Ashanti,17.74,12.94,22.91,0.64,46.59,38.21,55.37,0.378,75.89,64.23,85.46,0.507,21.41,14.34,29.81,0.97
16,Amansie Central,Ashanti,17.03,12.31,22.19,0.536,44.82,36.0,54.0,0.247,76.73,64.66,86.58,0.566,20.97,13.43,30.02,0.936
17,Amansie South,Ashanti,16.65,11.67,22.32,0.472,46.88,37.17,57.3,0.42,75.37,60.61,86.74,0.494,20.37,12.19,30.12,0.894
18,Amansie West,Ashanti,18.55,13.29,24.35,0.721,47.22,38.13,56.75,0.442,75.39,62.0,86.13,0.487,22.85,14.47,33.06,0.968
