district_id,district,shap_poverty_incidence,shap_poverty_intensity,shap_illiteracy_rate,shap_nhis_uninsured_rate,shap_employment_rate,shap_under15_share,shap_urbanicity,shap_improved_water_pct,shap_improved_sanitation_pct,shap_log_pop,val_poverty_incidence,val_poverty_intensity,val_illiteracy_rate,val_nhis_uninsured_rate,val_employment_rate,val_under15_share,val_urbanicity,val_improved_water_pct,val_improved_sanitation_pct,val_log_pop
1,Asunafo North Municipal,-0.512701,-1.5315219,-2.1600366,-0.87257665,-0.41919288,-0.40128765,-0.0148122385,-4.285442,-3.2051957,0.03573786,26.1,42.0,26.32191355167992,14.236602361527986,53.1759687606252,35.83347657644554,2,83.3,54.2,11.926742267056309
2,Asunafo South,-0.6157712,-0.9544376,-0.5405032,0.2874995,-0.6358683,-0.015557433,0.0037464227,-3.9169197,-3.1868622,-0.081837445,26.2,42.7,28.8931543302106,47.49544676256639,56.48513139695712,36.91993936287394,1,83.3,54.2,11.426201319452964
3,Asutifi North,-0.40050143,-0.63619524,-2.0631506,-0.75554353,-0.44638544,-0.26375225,0.0008086753,-4.4103684,-3.1884248,0.00874533,26.6,43.1,25.55060090271358,17.297025395616945,51.40601978530836,35.40975583229104,1,83.3,54.2,11.205802299860744
4,Asutifi South,-1.1363853,-1.3536974,-0.5175094,-0.71251637,-0.23644543,0.08619489,-0.0007495722,-3.947477,-3.2393398,-0.1929522,23.2,42.4,29.25862120177028,21.67255769744854,50.879343674855015,37.00359402382155,1,83.3,54.2,11.117420588656316
5,Tano North Municipal,-1.1595788,-1.4623249,-2.5828156,-0.90088457,-0.35072875,-0.20905693,-0.021315772,-4.038315,-3.0958667,-0.08994638,21.6,42.3,23.449988277670027,14.104094290159637,51.50472633148212,34.950659647477565,2,83.3,54.2,11.44932517022726
6,Tano South Municipal,-0.7990818,-0.9254354,-1.505371,-0.5849908,-0.3589022,-0.013358699,-0.0115424935,-4.0796075,-3.304639,0.01641601,23.7,42.6,27.90582717355068,20.452011173826577,52.58395590048597,36.60347860074262,2,83.3,54.2,11.373536952861308
7,Adansi Asokwa,1.2425895,-0.3650576,-0.8462553,0.49642384,-0.085329294,0.72698736,0.0036813861,0.6054461,-4.622633,0.17958257,32.4,43.3,28.261232670786704,50.14893380101331,51.88596104697277,36.82423027671065,1,96.8,84.7,11.182252380713352
8,Adansi North,-0.9796657,-0.30616245,-2.0117824,0.22432025,0.3231943,-0.20909053,0.014805417,0.61243373,-5.2136536,-0.30424663,19.7,42.8,18.15714153817745,27.633644169513435,48.48240142570729,33.68664019942757,1,96.8,84.7,10.899605584269835
9,Adansi South,1.2649653,-0.34323293,-1.1022274,0.3843963,-0.23478717,0.718118,0.0036813861,0.5958546,-4.347452,0.20395993,35.0,43.2,27.070422535211268,46.093896713615024,54.97467673413354,36.73356807511737,1,96.8,84.7,11.352756712817406
10,Afigya Kwabre North,0.7750838,1.0611982,-2.0656786,0.06075347,0.27293113,1.2574936,0.0007436387,0.5757985,-4.8643517,0.08624887,25.2,43.7,23.97927178508114,30.1200054547934,48.214809963641294,39.614073366971226,1,96.8,84.7,11.202725081087843
11,Afigya Kwabre South,-1.5605681,-0.2262851,-2.9277349,0.069884636,0.005426113,0.91863066,0.004244921,0.38102835,-5.2751827,0.24157342,13.0,43.3,13.424980930424814,24.97112930237315,50.70324486168278,36.950231604784655,1,96.8,84.7,12.365922766925609
12,Ahafo Ano North Municipal,0.20794466,-2.3589373,-1.8577502,-0.07651274,-0.43681616,0.4187736,-0.031355813,0.44948828,-4.6227474,-0.079714775,26.5,41.2,24.91643484074098,30.63768303465528,56.881374401934245,36.67270492333571,2,96.8,84.7,11.437576723380374
13,Ahafo Ano South East,0.86395663,-0.77245486,1.9300703,-0.13635118,-0.14506987,0.96703607,0.0008133324,0.2757017,-4.9343925,0.10857665,31.8,42.5,32.23514211886305,32.33755593369887,53.70530000261213,39.68141425600302,1,96.8,84.7,11.05829112085398
14,Ahafo Ano South West,0.8947729,-1.7638305,1.8250982,-0.0037394953,-0.3957965,0.6206994,0.003694836,0.17071883,-4.897406,0.08257714,31.9,41.8,31.427702599969592,37.518625513151896,55.605555690691055,37.49277786224722,1,96.8,84.7,11.093919086295395
15,Akrofuom,1.040249,1.2775697,0.90828717,0.1035179,-0.053737618,0.16278875,0.0007746713,0.32333612,-4.7237897,-0.5108614,37.0,44.2,30.03388042441825,42.83946359375951,50.68867924528302,35.48517985027693,1,96.8,84.7,10.805496787584511
16,Amansie Central,0.869523,-0.383498,0.83837926,0.021106603,-0.4527239,0.12743784,0.0008133324,0.29551968,-4.67054,-0.058482677,28.6,43.3,29.44160254481365,33.994970554098785,55.37051083336082,34.8256888621416,1,96.8,84.7,11.440913755659937
17,Amansie South,0.9853451,1.3353705,1.3244036,0.39480722,-0.2758372,-0.4123951,0.0010151288,0.31138355,-4.770095,-0.005973844,30.3,44.4,30.172771861605764,48.13839423799214,54.39064178570008,33.36662100658389,1,96.8,84.7,11.636513839214846
18,Amansie West,1.0716853,1.8338032,-0.7895209,0.27707863,0.7213518,0.53470683,0.003642725,0.59985554,-4.5253487,-0.2460509,31.0,44.7,26.99707885320572,43.01810400703207,47.78673158174544,36.53564420609623,1,96.8,84.7,11.631836752799584
19,Asante Akim Central Municipal,-1.11079,-0.5497193,-2.0998359,0.018271556,0.30576503,0.21006969,-0.021380808,0.60724074,-5.103792,-0.050861653,16.9,42.6,17.219901170464585,19.683003719743,48.865993064888094,34.25217894036412,2,96.8,84.7,11.425983176503022
20,Asante Akim North Municipal,0.6681902,-1.3100446,-2.2746263,0.03651995,-0.0951153,-0.117976606,-0.008143367,0.589557,-4.7814875,0.17919004,26.0,42.1,23.84685805497524,33.99920189666909,52.868779883123786,33.72221309358935,2,96.8,84.7,11.352780186720295
21,Asante Akim South Municipal,0.22676395,-1.1352593,-1.4364859,0.012688555,-0.41686147,0.8840709,-0.014777243,0.54128367,-4.511557,-0.0319347,24.6,42.2,25.618564622714,32.611843116320074,56.16243785912583,37.35895755987479,2,96.8,84.7,11.725072778661424
22,Asokore Mampong Municipal,-2.129715,-0.55471784,-2.2727265,-0.10430793,-0.12711458,-0.37623808,-0.01958908,0.44272462,-5.5482297,0.0780531,11.3,42.7,19.35089497497414,20.275127741611897,51.48465570608639,32.820973657537536,2,96.8,84.7,12.16213120726719
23,Asokwa Municipal,-2.2673,-1.8918096,-3.1110806,-0.29225865,-0.23743363,-0.9681998,-0.026653334,0.3206282,-5.7063684,-0.0863009,6.3,41.4,10.732080036930324,14.247624202098024,55.92959295929593,31.269002403654827,2,96.8,84.7,11.74119187202318
24,Atwima Kwanwoma,-1.6137419,-0.24375269,-3.3455598,0.035368416,0.08274838,0.65940917,0.004244921,0.32079846,-5.3325295,0.16757944,13.8,43.3,13.568040332813844,26.15288316598963,50.00733842130544,36.17264079439292,1,96.8,84.7,12.366685259161914
25,Atwima Mponua,0.4357077,-1.1323559,-0.27367678,0.040910743,-0.5621489,0.91157305,0.001014919,0.32410955,-4.5585647,0.08842375,25.1,42.4,29.223723704381207,24.13271155654605,56.49586537366879,37.76456645239414,1,96.8,84.7,11.952817764359146
