district_id,district,shap_poverty_incidence,shap_poverty_intensity,shap_illiteracy_rate,shap_nhis_uninsured_rate,shap_employment_rate,shap_under15_share,shap_urbanicity,shap_improved_water_pct,shap_improved_sanitation_pct,shap_log_pop,val_poverty_incidence,val_poverty_intensity,val_illiteracy_rate,val_nhis_uninsured_rate,val_employment_rate,val_under15_share,val_urbanicity,val_improved_water_pct,val_improved_sanitation_pct,val_log_pop
1,Asunafo North Municipal,0.10177155,0.22476004,-0.6114676,-0.8497738,0.19043572,-0.76039696,-0.41308528,0.72314215,-1.5477992,0.03783228,26.1,42.0,26.32191355167992,14.236602361527986,53.1759687606252,35.83347657644554,2,83.3,54.2,11.926742267056309
2,Asunafo South,0.014861919,0.13798386,-0.5934824,0.7374895,-0.24685355,1.0848122,0.70139754,0.39351308,-1.3896486,-0.033992533,26.2,42.7,28.8931543302106,47.49544676256639,56.48513139695712,36.91993936287394,1,83.3,54.2,11.426201319452964
3,Asutifi North,0.071489625,0.065217875,-0.49570742,-1.1047753,0.0730383,-1.0132493,0.3998358,0.72659254,-1.555066,-0.073427625,26.6,43.1,25.55060090271358,17.297025395616945,51.40601978530836,35.40975583229104,1,83.3,54.2,11.205802299860744
4,Asutifi South,0.13310228,0.2061137,-0.5379514,-1.0609121,0.20588751,0.9004654,0.3459687,0.8635243,-1.5512158,-0.08166568,23.2,42.4,29.25862120177028,21.67255769744854,50.879343674855015,37.00359402382155,1,83.3,54.2,11.117420588656316
5,Tano North Municipal,0.11024251,0.19822451,-0.3785938,-0.8902212,0.07632903,-1.110638,-0.38454834,0.71238136,-1.5591482,0.024801763,21.6,42.3,23.449988277670027,14.104094290159637,51.50472633148212,34.950659647477565,2,83.3,54.2,11.44932517022726
6,Tano South Municipal,0.15440698,0.19153969,-0.36926088,-0.5691505,0.25843006,0.20968258,-0.36527878,0.79756725,-1.6028717,0.1589479,23.7,42.6,27.90582717355068,20.452011173826577,52.58395590048597,36.60347860074262,2,83.3,54.2,11.373536952861308
7,Adansi Asokwa,0.30551028,0.024438215,-0.29120272,1.2038573,0.208039,1.6143781,0.74751735,0.24875471,5.3231173,0.09240906,32.4,43.3,28.261232670786704,50.14893380101331,51.88596104697277,36.82423027671065,1,96.8,84.7,11.182252380713352
8,Adansi North,0.3760898,0.22182398,-0.18233518,-0.39604914,0.24480368,-1.386061,0.46706152,0.2556802,5.5989804,0.07667058,19.7,42.8,18.15714153817745,27.633644169513435,48.48240142570729,33.68664019942757,1,96.8,84.7,10.899605584269835
9,Adansi South,0.24617246,0.043563575,-0.39871055,1.1382027,0.5800513,1.6349766,0.74977136,0.2231931,5.2986965,0.27502522,35.0,43.2,27.070422535211268,46.093896713615024,54.97467673413354,36.73356807511737,1,96.8,84.7,11.352756712817406
10,Afigya Kwabre North,0.4328439,0.14089163,-0.16001567,-0.015044023,0.3655322,3.18158,0.37342548,0.012847839,5.2964177,0.06956005,25.2,43.7,23.97927178508114,30.1200054547934,48.214809963641294,39.614073366971226,1,96.8,84.7,11.202725081087843
11,Afigya Kwabre South,-0.41331983,0.04371759,-0.42990363,-0.7172572,0.27007332,1.4337528,0.4445125,-0.08897521,5.0234213,-0.030736953,13.0,43.3,13.424980930424814,24.97112930237315,50.70324486168278,36.950231604784655,1,96.8,84.7,12.365922766925609
12,Ahafo Ano North Municipal,0.30157247,-0.24110943,-0.41516453,-0.19695833,-0.43923178,0.50859505,-0.5409878,0.06528623,5.5883236,0.027672425,26.5,41.2,24.91643484074098,30.63768303465528,56.881374401934245,36.67270492333571,2,96.8,84.7,11.437576723380374
13,Ahafo Ano South East,0.4309727,0.29275143,-0.30693775,0.71211547,0.30954665,3.2651913,0.45337495,0.091617644,5.138215,0.12872371,31.8,42.5,32.23514211886305,32.33755593369887,53.70530000261213,39.68141425600302,1,96.8,84.7,11.05829112085398
14,Ahafo Ano South West,0.49343663,0.3604085,-0.33680704,0.76518744,-0.0002337987,1.6820011,0.61959934,0.13993984,5.4967604,0.15534313,31.9,41.8,31.427702599969592,37.518625513151896,55.605555690691055,37.49277786224722,1,96.8,84.7,11.093919086295395
15,Akrofuom,0.26139134,-0.13777024,-0.35235912,0.70373803,0.213468,-0.53304183,0.6365583,0.23148888,5.3923254,0.02442446,37.0,44.2,30.03388042441825,42.83946359375951,50.68867924528302,35.48517985027693,1,96.8,84.7,10.805496787584511
16,Amansie Central,0.45338854,0.034193795,-0.30756456,0.30299285,0.245677,-0.90572923,0.6049027,0.16140084,5.4437256,0.103230216,28.6,43.3,29.44160254481365,33.994970554098785,55.37051083336082,34.8256888621416,1,96.8,84.7,11.440913755659937
17,Amansie South,0.43488258,-0.33674034,-0.29353753,0.9228235,0.29483193,-1.9968296,0.80955446,0.302518,5.0434117,0.013105992,30.3,44.4,30.172771861605764,48.13839423799214,54.39064178570008,33.36662100658389,1,96.8,84.7,11.636513839214846
18,Amansie West,0.46849632,-0.34857374,-0.310086,0.8101413,0.333385,0.8778896,0.6495556,0.12600571,5.5540595,-0.01284462,31.0,44.7,26.99707885320572,43.01810400703207,47.78673158174544,36.53564420609623,1,96.8,84.7,11.631836752799584
19,Asante Akim Central Municipal,0.38868138,0.20468143,-0.17259371,-0.57822186,0.25893596,-1.0249403,-0.48518664,0.17536864,5.442545,0.08285174,16.9,42.6,17.219901170464585,19.683003719743,48.865993064888094,34.25217894036412,2,96.8,84.7,11.425983176503022
20,Asante Akim North Municipal,0.46519515,0.26655862,-0.096544646,0.307634,0.22373529,-1.5173988,-0.6065995,0.26608238,5.2478495,0.2363912,26.0,42.1,23.84685805497524,33.99920189666909,52.868779883123786,33.72221309358935,2,96.8,84.7,11.352780186720295
21,Asante Akim South Municipal,0.431598,0.2828406,-0.40416276,0.46627122,-0.26463598,1.3605498,-0.61229646,0.16444834,5.310047,-0.0046718675,24.6,42.2,25.618564622714,32.611843116320074,56.16243785912583,37.35895755987479,2,96.8,84.7,11.725072778661424
22,Asokore Mampong Municipal,-0.401631,0.22120668,-0.22991818,-0.48486814,0.08959868,-2.8177598,-0.4819969,0.115846254,4.452676,-0.07344789,11.3,42.7,19.35089497497414,20.275127741611897,51.48465570608639,32.820973657537536,2,96.8,84.7,12.16213120726719
23,Asokwa Municipal,0.16588418,0.112271994,-0.35759076,-0.8470105,-0.25264817,-3.253639,-0.47376633,0.123016015,4.140527,0.014321044,6.3,41.4,10.732080036930324,14.247624202098024,55.92959295929593,31.269002403654827,2,96.8,84.7,11.74119187202318
24,Atwima Kwanwoma,-0.3651776,-0.01718191,-0.6307894,-0.5709584,0.0968016,0.3920156,0.41565847,0.013630837,5.2702055,-0.6833927,13.8,43.3,13.568040332813844,26.15288316598963,50.00733842130544,36.17264079439292,1,96.8,84.7,12.366685259161914
25,Atwima Mponua,0.42933798,0.33510458,-0.35281318,-0.7531481,-0.27746317,1.6590188,0.4491036,-0.029734796,5.3067274,-0.035936393,25.1,42.4,29.223723704381207,24.13271155654605,56.49586537366879,37.76456645239414,1,96.8,84.7,11.952817764359146
26,Atwima Nwabiagya North,-0.4089238,0.080689035,-0.14295115,-0.59789574,0.28992343,0.8333357,0.4658336,0.015022293,5.8551855,0.1456617,13.5,43.1,15.73681664247702,21.41332043218836,49.07483199434086,36.16835994194485,1,96.8,84.7,11.951341673218078
27,Atwima Nwabiagya South Municipal,-0.40452784,0.056018844,-0.5452629,-0.45771417,0.027226174,-0.68677914,-0.49379063,0.020130144,4.8655334,-0.098730445,12.5,43.0,13.833828516365749,23.43584960436832,51.59721034528628,34.990394890452336,2,96.8,84.7,11.994690902165216
28,Bekwai Municipal,0.38593563,0.07299819,-0.16319749,-0.1550597,0.28080472,-0.79631793,-0.5035608,0.11295221,5.4933276,0.07595854,19.4,43.6,17.872389774366333,27.697927765335187,48.97144065062359,34.85181238991933,2,96.8,84.7,11.834769805108316
