district_id,district,shap_poverty_incidence,shap_poverty_intensity,shap_illiteracy_rate,shap_nhis_uninsured_rate,shap_employment_rate,shap_under15_share,shap_urbanicity,shap_improved_water_pct,shap_improved_sanitation_pct,shap_log_pop,val_poverty_incidence,val_poverty_intensity,val_illiteracy_rate,val_nhis_uninsured_rate,val_employment_rate,val_under15_share,val_urbanicity,val_improved_water_pct,val_improved_sanitation_pct,val_log_pop
1,Asunafo North Municipal,0.11150634,-0.36703706,0.36859748,0.1438997,0.031402346,-1.1843644,0.19436933,1.1968956,0.055531133,0.1332232,26.1,42.0,26.32191355167992,14.236602361527986,53.1759687606252,35.83347657644554,2,83.3,54.2,11.926742267056309
2,Asunafo South,0.04447821,-0.11046572,0.3852164,0.112538435,-0.26858154,0.20748141,-0.16239303,0.80421257,0.008967077,0.026913876,26.2,42.7,28.8931543302106,47.49544676256639,56.48513139695712,36.91993936287394,1,83.3,54.2,11.426201319452964
3,Asutifi North,-0.057357237,-0.07927191,0.3790766,0.14523627,0.17638288,-1.2471334,-0.14865887,1.0836275,0.052552912,-0.004881752,26.6,43.1,25.55060090271358,17.297025395616945,51.40601978530836,35.40975583229104,1,83.3,54.2,11.205802299860744
4,Asutifi South,0.016865881,-0.46616635,0.37290934,0.07723925,0.2332121,0.30104613,-0.20580995,1.118317,-0.057360873,-0.07031397,23.2,42.4,29.25862120177028,21.67255769744854,50.879343674855015,37.00359402382155,1,83.3,54.2,11.117420588656316
5,Tano North Municipal,0.11787925,-0.5104995,0.40621373,0.17458352,0.15226796,-1.3376423,0.17425458,1.3618156,0.057939287,0.01784677,21.6,42.3,23.449988277670027,14.104094290159637,51.50472633148212,34.950659647477565,2,83.3,54.2,11.44932517022726
6,Tano South Municipal,0.13831319,-0.04281364,0.38821757,0.1090667,0.19463691,-0.2358985,0.21626979,1.1900948,0.025230752,0.04855246,23.7,42.6,27.90582717355068,20.452011173826577,52.58395590048597,36.60347860074262,2,83.3,54.2,11.373536952861308
7,Adansi Asokwa,-0.06110231,0.023742644,0.32735607,0.08928013,0.136061,0.45605958,-0.10989573,1.7910725,-0.38513076,0.035260897,32.4,43.3,28.261232670786704,50.14893380101331,51.88596104697277,36.82423027671065,1,96.8,84.7,11.182252380713352
8,Adansi North,0.010403673,0.063442744,-0.18412133,0.017076647,0.15460762,-1.8241901,-0.100429446,1.8063735,-0.32778096,-0.03407529,19.7,42.8,18.15714153817745,27.633644169513435,48.48240142570729,33.68664019942757,1,96.8,84.7,10.899605584269835
9,Adansi South,-0.0979118,0.0007513439,0.3375908,0.07100102,-0.11302422,0.43033743,-0.12452022,1.8097018,-0.41539136,0.025073351,35.0,43.2,27.070422535211268,46.093896713615024,54.97467673413354,36.73356807511737,1,96.8,84.7,11.352756712817406
10,Afigya Kwabre North,-0.008316239,0.062217057,0.30408,-0.03306335,0.18348977,2.379469,-0.15014996,1.454259,-0.34251267,0.014007635,25.2,43.7,23.97927178508114,30.1200054547934,48.214809963641294,39.614073366971226,1,96.8,84.7,11.202725081087843
