ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),382479,Neonatal mortality rate,39,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_NNR,63206010,I,408001,1408010,Region,Western (pre 2022),14003,Ten years preceding the survey,0,1,CMECMRCNNR,GHDHS1988408001,1988,DHS,,,27,52,1
GHA,Central,744321,Neonatal mortality rate,87,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_NNR,63206010,I,408002,1408020,Region,Central,14003,Ten years preceding the survey,0,1,CMECMRCNNR,GHDHS1988408002,1988,DHS,,,74,100,1
GHA,Greater Accra,333688,Neonatal mortality rate,41,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_NNR,63206010,I,408003,1408030,Region,Greater Accra,14003,Ten years preceding the survey,0,1,CMECMRCNNR,GHDHS1988408003,1988,DHS,,,26,55,1
GHA,Volta (pre 2022),341881,Neonatal mortality rate,44,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_NNR,63206010,I,408004,1408040,Region,Volta (pre 2022),14003,Ten years preceding the survey,0,1,CMECMRCNNR,GHDHS1988408004,1988,DHS,,,24,64,1
GHA,Eastern,799738,Neonatal mortality rate,40,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_NNR,63206010,I,408005,1408050,Region,Eastern,14003,Ten years preceding the survey,0,1,CMECMRCNNR,GHDHS1988408005,1988,DHS,,,25,56,1
GHA,Ashanti,554451,Neonatal mortality rate,45,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_NNR,63206010,I,408006,1408060,Region,Ashanti,14003,Ten years preceding the survey,0,1,CMECMRCNNR,GHDHS1988408006,1988,DHS,,,31,59,1
GHA,Brong-Ahafo,724900,Neonatal mortality rate,40,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_NNR,63206010,I,408007,1408070,Region,Brong-Ahafo,14003,Ten years preceding the survey,0,1,CMECMRCNNR,GHDHS1988408007,1988,DHS,,,28,52,1
GHA,"Northern, Upper West, Upper East",378215,Neonatal mortality rate,44,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_NNR,63206010,I,408008,1408080,Region,"Northern, Upper West, Upper East",14003,Ten years preceding the survey,0,1,CMECMRCNNR,GHDHS1988408008,1988,DHS,,,26,61,1
GHA,Western (pre 2022),787016,Postneonatal mortality rate,35,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_PNR,63206020,I,408001,1408010,Region,Western (pre 2022),14003,Ten years preceding the survey,0,1,CMECMRCPNR,GHDHS1988408001,1988,DHS,,,20,50,1
GHA,Central,552006,Postneonatal mortality rate,52,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_PNR,63206020,I,408002,1408020,Region,Central,14003,Ten years preceding the survey,0,1,CMECMRCPNR,GHDHS1988408002,1988,DHS,,,35,69,1
GHA,Greater Accra,495656,Postneonatal mortality rate,17,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_PNR,63206020,I,408003,1408030,Region,Greater Accra,14003,Ten years preceding the survey,0,1,CMECMRCPNR,GHDHS1988408003,1988,DHS,,,10,25,1
GHA,Volta (pre 2022),906047,Postneonatal mortality rate,30,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_PNR,63206020,I,408004,1408040,Region,Volta (pre 2022),14003,Ten years preceding the survey,0,1,CMECMRCPNR,GHDHS1988408004,1988,DHS,,,18,43,1
GHA,Eastern,423523,Postneonatal mortality rate,30,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_PNR,63206020,I,408005,1408050,Region,Eastern,14003,Ten years preceding the survey,0,1,CMECMRCPNR,GHDHS1988408005,1988,DHS,,,17,42,1
GHA,Ashanti,905930,Postneonatal mortality rate,24,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_PNR,63206020,I,408006,1408060,Region,Ashanti,14003,Ten years preceding the survey,0,1,CMECMRCPNR,GHDHS1988408006,1988,DHS,,,17,32,1
GHA,Brong-Ahafo,475144,Postneonatal mortality rate,25,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_PNR,63206020,I,408007,1408070,Region,Brong-Ahafo,14003,Ten years preceding the survey,0,1,CMECMRCPNR,GHDHS1988408007,1988,DHS,,,11,39,1
GHA,"Northern, Upper West, Upper East",753994,Postneonatal mortality rate,59,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_PNR,63206020,I,408008,1408080,Region,"Northern, Upper West, Upper East",14003,Ten years preceding the survey,0,1,CMECMRCPNR,GHDHS1988408008,1988,DHS,,,42,75,1
GHA,Western (pre 2022),495526,Infant mortality rate,74,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_IMR,63206030,I,408001,1408010,Region,Western (pre 2022),14003,Ten years preceding the survey,0,1,CMECMRCIMR,GHDHS1988408001,1988,DHS,,,58,89,1
GHA,Central,552365,Infant mortality rate,139,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_IMR,63206030,I,408002,1408020,Region,Central,14003,Ten years preceding the survey,0,1,CMECMRCIMR,GHDHS1988408002,1988,DHS,,,114,163,1
GHA,Greater Accra,604521,Infant mortality rate,58,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_IMR,63206030,I,408003,1408030,Region,Greater Accra,14003,Ten years preceding the survey,0,1,CMECMRCIMR,GHDHS1988408003,1988,DHS,,,43,73,1
GHA,Volta (pre 2022),906050,Infant mortality rate,74,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_IMR,63206030,I,408004,1408040,Region,Volta (pre 2022),14003,Ten years preceding the survey,0,1,CMECMRCIMR,GHDHS1988408004,1988,DHS,,,45,104,1
GHA,Eastern,340544,Infant mortality rate,70,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_IMR,63206030,I,408005,1408050,Region,Eastern,14003,Ten years preceding the survey,0,1,CMECMRCIMR,GHDHS1988408005,1988,DHS,,,52,87,1
GHA,Ashanti,287847,Infant mortality rate,70,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_IMR,63206030,I,408006,1408060,Region,Ashanti,14003,Ten years preceding the survey,0,1,CMECMRCIMR,GHDHS1988408006,1988,DHS,,,55,84,1
GHA,Brong-Ahafo,477266,Infant mortality rate,65,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_IMR,63206030,I,408007,1408070,Region,Brong-Ahafo,14003,Ten years preceding the survey,0,1,CMECMRCIMR,GHDHS1988408007,1988,DHS,,,48,81,1
GHA,"Northern, Upper West, Upper East",734880,Infant mortality rate,102,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_IMR,63206030,I,408008,1408080,Region,"Northern, Upper West, Upper East",14003,Ten years preceding the survey,0,1,CMECMRCIMR,GHDHS1988408008,1988,DHS,,,78,126,1
GHA,Western (pre 2022),912214,Child mortality rate,80,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_CMR,63206040,I,408001,1408010,Region,Western (pre 2022),14003,Ten years preceding the survey,0,1,CMECMRCCMR,GHDHS1988408001,1988,DHS,,,57,104,1
GHA,Central,270104,Child mortality rate,83,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_CMR,63206040,I,408002,1408020,Region,Central,14003,Ten years preceding the survey,0,1,CMECMRCCMR,GHDHS1988408002,1988,DHS,,,56,109,1
GHA,Greater Accra,759849,Child mortality rate,49,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_CMR,63206040,I,408003,1408030,Region,Greater Accra,14003,Ten years preceding the survey,0,1,CMECMRCCMR,GHDHS1988408003,1988,DHS,,,27,71,1
GHA,Volta (pre 2022),513787,Child mortality rate,64,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_CMR,63206040,I,408004,1408040,Region,Volta (pre 2022),14003,Ten years preceding the survey,0,1,CMECMRCCMR,GHDHS1988408004,1988,DHS,,,44,85,1
GHA,Eastern,751047,Child mortality rate,73,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_CMR,63206040,I,408005,1408050,Region,Eastern,14003,Ten years preceding the survey,0,1,CMECMRCCMR,GHDHS1988408005,1988,DHS,,,56,90,1
GHA,Ashanti,905827,Child mortality rate,81,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_CMR,63206040,I,408006,1408060,Region,Ashanti,14003,Ten years preceding the survey,0,1,CMECMRCCMR,GHDHS1988408006,1988,DHS,,,59,103,1
GHA,Brong-Ahafo,397681,Child mortality rate,61,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_CMR,63206040,I,408007,1408070,Region,Brong-Ahafo,14003,Ten years preceding the survey,0,1,CMECMRCCMR,GHDHS1988408007,1988,DHS,,,38,85,1
GHA,"Northern, Upper West, Upper East",912324,Child mortality rate,133,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_CMR,63206040,I,408008,1408080,Region,"Northern, Upper West, Upper East",14003,Ten years preceding the survey,0,1,CMECMRCCMR,GHDHS1988408008,1988,DHS,,,104,161,1
GHA,Western (pre 2022),462987,Under-five mortality rate,148,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_U5M,63206050,I,408001,1408010,Region,Western (pre 2022),14003,Ten years preceding the survey,0,1,CMECMRCU5M,GHDHS1988408001,1988,DHS,,,122,174,1
GHA,Central,585694,Under-five mortality rate,210,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_U5M,63206050,I,408002,1408020,Region,Central,14003,Ten years preceding the survey,0,1,CMECMRCU5M,GHDHS1988408002,1988,DHS,,,173,247,1
GHA,Greater Accra,485098,Under-five mortality rate,104,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_U5M,63206050,I,408003,1408030,Region,Greater Accra,14003,Ten years preceding the survey,0,1,CMECMRCU5M,GHDHS1988408003,1988,DHS,,,75,133,1
GHA,Volta (pre 2022),397981,Under-five mortality rate,134,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_U5M,63206050,I,408004,1408040,Region,Volta (pre 2022),14003,Ten years preceding the survey,0,1,CMECMRCU5M,GHDHS1988408004,1988,DHS,,,104,163,1
GHA,Eastern,7310013,Under-five mortality rate,138,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_U5M,63206050,I,408005,1408050,Region,Eastern,14003,Ten years preceding the survey,0,1,CMECMRCU5M,GHDHS1988408005,1988,DHS,,,115,161,1
GHA,Ashanti,629864,Under-five mortality rate,145,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_U5M,63206050,I,408006,1408060,Region,Ashanti,14003,Ten years preceding the survey,0,1,CMECMRCU5M,GHDHS1988408006,1988,DHS,,,117,173,1
GHA,Brong-Ahafo,341885,Under-five mortality rate,122,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_U5M,63206050,I,408007,1408070,Region,Brong-Ahafo,14003,Ten years preceding the survey,0,1,CMECMRCU5M,GHDHS1988408007,1988,DHS,,,92,152,1
GHA,"Northern, Upper West, Upper East",912341,Under-five mortality rate,221,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_U5M,63206050,I,408008,1408080,Region,"Northern, Upper West, Upper East",14003,Ten years preceding the survey,0,1,CMECMRCU5M,GHDHS1988408008,1988,DHS,,,187,255,1
GHA,Western (pre 2022),285688,Neonatal mortality rate,47,0,GH,Ghana,1993,GH1993DHS,CM_ECMR_C_NNR,63206010,I,408001,1408010,Region,Western (pre 2022),14003,Ten years preceding the survey,0,1,CMECMRCNNR,GHDHS1993408001,1993,DHS,,,27,67,1
GHA,Central,664907,Neonatal mortality rate,50,0,GH,Ghana,1993,GH1993DHS,CM_ECMR_C_NNR,63206010,I,408002,1408020,Region,Central,14003,Ten years preceding the survey,0,1,CMECMRCNNR,GHDHS1993408002,1993,DHS,,,30,70,1
GHA,Greater Accra,345422,Neonatal mortality rate,44,0,GH,Ghana,1993,GH1993DHS,CM_ECMR_C_NNR,63206010,I,408003,1408030,Region,Greater Accra,14003,Ten years preceding the survey,0,1,CMECMRCNNR,GHDHS1993408003,1993,DHS,,,24,64,1
GHA,Volta (pre 2022),647105,Neonatal mortality rate,40,0,GH,Ghana,1993,GH1993DHS,CM_ECMR_C_NNR,63206010,I,408004,1408040,Region,Volta (pre 2022),14003,Ten years preceding the survey,0,1,CMECMRCNNR,GHDHS1993408004,1993,DHS,,,28,52,1
GHA,Eastern,401221,Neonatal mortality rate,30,0,GH,Ghana,1993,GH1993DHS,CM_ECMR_C_NNR,63206010,I,408005,1408050,Region,Eastern,14003,Ten years preceding the survey,0,1,CMECMRCNNR,GHDHS1993408005,1993,DHS,,,15,46,1
GHA,Ashanti,673694,Neonatal mortality rate,44,0,GH,Ghana,1993,GH1993DHS,CM_ECMR_C_NNR,63206010,I,408006,1408060,Region,Ashanti,14003,Ten years preceding the survey,0,1,CMECMRCNNR,GHDHS1993408006,1993,DHS,,,32,56,1
GHA,Brong-Ahafo,918836,Neonatal mortality rate,37,0,GH,Ghana,1993,GH1993DHS,CM_ECMR_C_NNR,63206010,I,408007,1408070,Region,Brong-Ahafo,14003,Ten years preceding the survey,0,1,CMECMRCNNR,GHDHS1993408007,1993,DHS,,,22,52,1
