ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),7457030,Children with diarrhea,23.5,1,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_DIA,94066010,I,408001,1408010,Region,Western (pre 2022),14000,Three years preceding the survey,0,0,CHDIARCDIA,GHDHS1988408001,1988,DHS,213,213,,,1
GHA,Western (pre 2022),413841,Children with diarrhea,18.6,1,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_DIA,94066010,I,408001,1408010,Region,Western (pre 2022),14001,Five years preceding the survey,0,1,CHDIARCDIA,GHDHS1988408001,1988,DHS,328,328,,,1
GHA,Central,4980157,Children with diarrhea,41.3,1,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_DIA,94066010,I,408002,1408020,Region,Central,14000,Three years preceding the survey,0,0,CHDIARCDIA,GHDHS1988408002,1988,DHS,240,240,,,1
GHA,Central,73085,Children with diarrhea,30.4,1,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_DIA,94066010,I,408002,1408020,Region,Central,14001,Five years preceding the survey,0,1,CHDIARCDIA,GHDHS1988408002,1988,DHS,392,392,,,1
GHA,Greater Accra,2074017,Children with diarrhea,38,1,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_DIA,94066010,I,408003,1408030,Region,Greater Accra,14000,Three years preceding the survey,0,0,CHDIARCDIA,GHDHS1988408003,1988,DHS,229,229,,,1
GHA,Greater Accra,4587630,Children with diarrhea,28.6,1,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_DIA,94066010,I,408003,1408030,Region,Greater Accra,14001,Five years preceding the survey,0,1,CHDIARCDIA,GHDHS1988408003,1988,DHS,370,370,,,1
GHA,Volta (pre 2022),4179721,Children with diarrhea,26.4,1,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_DIA,94066010,I,408004,1408040,Region,Volta (pre 2022),14000,Three years preceding the survey,0,0,CHDIARCDIA,GHDHS1988408004,1988,DHS,288,288,,,1
GHA,Volta (pre 2022),6946211,Children with diarrhea,23.7,1,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_DIA,94066010,I,408004,1408040,Region,Volta (pre 2022),14001,Five years preceding the survey,0,1,CHDIARCDIA,GHDHS1988408004,1988,DHS,455,455,,,1
GHA,Eastern,5967146,Children with diarrhea,33.1,1,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_DIA,94066010,I,408005,1408050,Region,Eastern,14000,Three years preceding the survey,0,0,CHDIARCDIA,GHDHS1988408005,1988,DHS,354,354,,,1
GHA,Eastern,5079042,Children with diarrhea,26.4,1,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_DIA,94066010,I,408005,1408050,Region,Eastern,14001,Five years preceding the survey,0,1,CHDIARCDIA,GHDHS1988408005,1988,DHS,550,550,,,1
GHA,Ashanti,5821618,Children with diarrhea,36.7,1,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_DIA,94066010,I,408006,1408060,Region,Ashanti,14000,Three years preceding the survey,0,0,CHDIARCDIA,GHDHS1988408006,1988,DHS,406,406,,,1
GHA,Ashanti,6315536,Children with diarrhea,29.1,1,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_DIA,94066010,I,408006,1408060,Region,Ashanti,14001,Five years preceding the survey,0,1,CHDIARCDIA,GHDHS1988408006,1988,DHS,632,632,,,1
GHA,Brong-Ahafo,4626570,Children with diarrhea,30.7,1,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_DIA,94066010,I,408007,1408070,Region,Brong-Ahafo,14000,Three years preceding the survey,0,0,CHDIARCDIA,GHDHS1988408007,1988,DHS,322,322,,,1
GHA,Brong-Ahafo,663360,Children with diarrhea,24.5,1,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_DIA,94066010,I,408007,1408070,Region,Brong-Ahafo,14001,Five years preceding the survey,0,1,CHDIARCDIA,GHDHS1988408007,1988,DHS,493,493,,,1
GHA,"Northern, Upper West, Upper East",7269944,Children with diarrhea,31.3,1,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_DIA,94066010,I,408008,1408080,Region,"Northern, Upper West, Upper East",14000,Three years preceding the survey,0,0,CHDIARCDIA,GHDHS1988408008,1988,DHS,272,272,,,1
GHA,"Northern, Upper West, Upper East",6126406,Children with diarrhea,24.9,1,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_DIA,94066010,I,408008,1408080,Region,"Northern, Upper West, Upper East",14001,Five years preceding the survey,0,1,CHDIARCDIA,GHDHS1988408008,1988,DHS,470,470,,,1
GHA,Western (pre 2022),7457031,Number of children born in the last five (or three) years,213,0,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_NUM,94066030,D,408001,1408010,Region,Western (pre 2022),14000,Three years preceding the survey,0,0,CHDIARCNUM,GHDHS1988408001,1988,DHS,,213,,,1
GHA,Western (pre 2022),433386,Number of children born in the last five (or three) years,328,0,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_NUM,94066030,D,408001,1408010,Region,Western (pre 2022),14001,Five years preceding the survey,0,1,CHDIARCNUM,GHDHS1988408001,1988,DHS,,328,,,1
GHA,Central,2899726,Number of children born in the last five (or three) years,240,0,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_NUM,94066030,D,408002,1408020,Region,Central,14000,Three years preceding the survey,0,0,CHDIARCNUM,GHDHS1988408002,1988,DHS,,240,,,1
GHA,Central,73084,Number of children born in the last five (or three) years,392,0,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_NUM,94066030,D,408002,1408020,Region,Central,14001,Five years preceding the survey,0,1,CHDIARCNUM,GHDHS1988408002,1988,DHS,,392,,,1
GHA,Greater Accra,2074018,Number of children born in the last five (or three) years,229,0,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_NUM,94066030,D,408003,1408030,Region,Greater Accra,14000,Three years preceding the survey,0,0,CHDIARCNUM,GHDHS1988408003,1988,DHS,,229,,,1
GHA,Greater Accra,2906448,Number of children born in the last five (or three) years,370,0,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_NUM,94066030,D,408003,1408030,Region,Greater Accra,14001,Five years preceding the survey,0,1,CHDIARCNUM,GHDHS1988408003,1988,DHS,,370,,,1
GHA,Volta (pre 2022),2893311,Number of children born in the last five (or three) years,288,0,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_NUM,94066030,D,408004,1408040,Region,Volta (pre 2022),14000,Three years preceding the survey,0,0,CHDIARCNUM,GHDHS1988408004,1988,DHS,,288,,,1
GHA,Volta (pre 2022),6973629,Number of children born in the last five (or three) years,455,0,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_NUM,94066030,D,408004,1408040,Region,Volta (pre 2022),14001,Five years preceding the survey,0,1,CHDIARCNUM,GHDHS1988408004,1988,DHS,,455,,,1
GHA,Eastern,5996157,Number of children born in the last five (or three) years,354,0,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_NUM,94066030,D,408005,1408050,Region,Eastern,14000,Three years preceding the survey,0,0,CHDIARCNUM,GHDHS1988408005,1988,DHS,,354,,,1
GHA,Eastern,2893318,Number of children born in the last five (or three) years,550,0,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_NUM,94066030,D,408005,1408050,Region,Eastern,14001,Five years preceding the survey,0,1,CHDIARCNUM,GHDHS1988408005,1988,DHS,,550,,,1
GHA,Ashanti,5879003,Number of children born in the last five (or three) years,406,0,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_NUM,94066030,D,408006,1408060,Region,Ashanti,14000,Three years preceding the survey,0,0,CHDIARCNUM,GHDHS1988408006,1988,DHS,,406,,,1
GHA,Ashanti,6315583,Number of children born in the last five (or three) years,632,0,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_NUM,94066030,D,408006,1408060,Region,Ashanti,14001,Five years preceding the survey,0,1,CHDIARCNUM,GHDHS1988408006,1988,DHS,,632,,,1
GHA,Brong-Ahafo,2893290,Number of children born in the last five (or three) years,322,0,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_NUM,94066030,D,408007,1408070,Region,Brong-Ahafo,14000,Three years preceding the survey,0,0,CHDIARCNUM,GHDHS1988408007,1988,DHS,,322,,,1
GHA,Brong-Ahafo,663354,Number of children born in the last five (or three) years,493,0,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_NUM,94066030,D,408007,1408070,Region,Brong-Ahafo,14001,Five years preceding the survey,0,1,CHDIARCNUM,GHDHS1988408007,1988,DHS,,493,,,1
GHA,"Northern, Upper West, Upper East",7269945,Number of children born in the last five (or three) years,272,0,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_NUM,94066030,D,408008,1408080,Region,"Northern, Upper West, Upper East",14000,Three years preceding the survey,0,0,CHDIARCNUM,GHDHS1988408008,1988,DHS,,272,,,1
GHA,"Northern, Upper West, Upper East",6186690,Number of children born in the last five (or three) years,470,0,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_NUM,94066030,D,408008,1408080,Region,"Northern, Upper West, Upper East",14001,Five years preceding the survey,0,1,CHDIARCNUM,GHDHS1988408008,1988,DHS,,470,,,1
GHA,Western (pre 2022),2906439,Number of children born in the last five (or three) years (unweighted),213,0,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_UNW,94066040,U,408001,1408010,Region,Western (pre 2022),14000,Three years preceding the survey,0,0,CHDIARCUNW,GHDHS1988408001,1988,DHS,213,,,,1
GHA,Western (pre 2022),409757,Number of children born in the last five (or three) years (unweighted),328,0,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_UNW,94066040,U,408001,1408010,Region,Western (pre 2022),14001,Five years preceding the survey,0,1,CHDIARCUNW,GHDHS1988408001,1988,DHS,328,,,,1
GHA,Central,4980155,Number of children born in the last five (or three) years (unweighted),240,0,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_UNW,94066040,U,408002,1408020,Region,Central,14000,Three years preceding the survey,0,0,CHDIARCUNW,GHDHS1988408002,1988,DHS,240,,,,1
GHA,Central,2899712,Number of children born in the last five (or three) years (unweighted),392,0,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_UNW,94066040,U,408002,1408020,Region,Central,14001,Five years preceding the survey,0,1,CHDIARCUNW,GHDHS1988408002,1988,DHS,392,,,,1
GHA,Greater Accra,2906430,Number of children born in the last five (or three) years (unweighted),229,0,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_UNW,94066040,U,408003,1408030,Region,Greater Accra,14000,Three years preceding the survey,0,0,CHDIARCUNW,GHDHS1988408003,1988,DHS,229,,,,1
GHA,Greater Accra,4587648,Number of children born in the last five (or three) years (unweighted),370,0,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_UNW,94066040,U,408003,1408030,Region,Greater Accra,14001,Five years preceding the survey,0,1,CHDIARCUNW,GHDHS1988408003,1988,DHS,370,,,,1
