ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),7757730,Children ever breastfed,98,1,GH,Ghana,1988,GH1988DHS,CN_BRFI_C_EVR,104266010,I,408001,1408010,Region,Western (pre 2022),0,,0,1,CNBRFICEVR,GHDHS1988408001,1988,DHS,150,150,,,1
GHA,Central,1736829,Children ever breastfed,96.7,1,GH,Ghana,1988,GH1988DHS,CN_BRFI_C_EVR,104266010,I,408002,1408020,Region,Central,0,,0,1,CNBRFICEVR,GHDHS1988408002,1988,DHS,181,181,,,1
GHA,Greater Accra,6385612,Children ever breastfed,95.9,1,GH,Ghana,1988,GH1988DHS,CN_BRFI_C_EVR,104266010,I,408003,1408030,Region,Greater Accra,0,,0,1,CNBRFICEVR,GHDHS1988408003,1988,DHS,146,146,,,1
GHA,Volta (pre 2022),7656833,Children ever breastfed,98,1,GH,Ghana,1988,GH1988DHS,CN_BRFI_C_EVR,104266010,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,CNBRFICEVR,GHDHS1988408004,1988,DHS,197,197,,,1
GHA,Eastern,815901,Children ever breastfed,98.4,1,GH,Ghana,1988,GH1988DHS,CN_BRFI_C_EVR,104266010,I,408005,1408050,Region,Eastern,0,,0,1,CNBRFICEVR,GHDHS1988408005,1988,DHS,247,247,,,1
GHA,Ashanti,51485,Children ever breastfed,97.1,1,GH,Ghana,1988,GH1988DHS,CN_BRFI_C_EVR,104266010,I,408006,1408060,Region,Ashanti,0,,0,1,CNBRFICEVR,GHDHS1988408006,1988,DHS,276,276,,,1
GHA,Brong-Ahafo,815924,Children ever breastfed,99.1,1,GH,Ghana,1988,GH1988DHS,CN_BRFI_C_EVR,104266010,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,CNBRFICEVR,GHDHS1988408007,1988,DHS,222,222,,,1
GHA,"Northern, Upper West, Upper East",6989487,Children ever breastfed,98,1,GH,Ghana,1988,GH1988DHS,CN_BRFI_C_EVR,104266010,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,CNBRFICEVR,GHDHS1988408008,1988,DHS,204,204,,,1
GHA,Western (pre 2022),807730,Median duration of any breastfeeding,20.3,1,GH,Ghana,1988,GH1988DHS,CN_BFDR_C_MDA,104336010,I,408001,1408010,Region,Western (pre 2022),0,,0,1,CNBFDRCMDA,GHDHS1988408001,1988,DHS,,,,,1
GHA,Central,2520629,Median duration of any breastfeeding,21.1,1,GH,Ghana,1988,GH1988DHS,CN_BFDR_C_MDA,104336010,I,408002,1408020,Region,Central,0,,0,1,CNBFDRCMDA,GHDHS1988408002,1988,DHS,,,,,1
GHA,Greater Accra,807701,Median duration of any breastfeeding,16.5,1,GH,Ghana,1988,GH1988DHS,CN_BFDR_C_MDA,104336010,I,408003,1408030,Region,Greater Accra,0,,0,1,CNBFDRCMDA,GHDHS1988408003,1988,DHS,,,,,1
GHA,Volta (pre 2022),815895,Median duration of any breastfeeding,22.5,1,GH,Ghana,1988,GH1988DHS,CN_BFDR_C_MDA,104336010,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,CNBFDRCMDA,GHDHS1988408004,1988,DHS,,,,,1
GHA,Eastern,815890,Median duration of any breastfeeding,20.8,1,GH,Ghana,1988,GH1988DHS,CN_BFDR_C_MDA,104336010,I,408005,1408050,Region,Eastern,0,,0,1,CNBFDRCMDA,GHDHS1988408005,1988,DHS,,,,,1
