ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),1382378,Women with secondary or higher education,9.5,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_W_SEH,231203100,I,408001,1408010,Region,Western (pre 2022),0,,0,1,EDEDUCWSEH,GHDHS1993408001,1993,DHS,398,398,,,1
GHA,Central,2316531,Women with secondary or higher education,7.5,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_W_SEH,231203100,I,408002,1408020,Region,Central,0,,0,1,EDEDUCWSEH,GHDHS1993408002,1993,DHS,438,438,,,1
GHA,Greater Accra,4423689,Women with secondary or higher education,28.2,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_W_SEH,231203100,I,408003,1408030,Region,Greater Accra,0,,0,1,EDEDUCWSEH,GHDHS1993408003,1993,DHS,618,618,,,1
GHA,Volta (pre 2022),1517092,Women with secondary or higher education,7.1,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_W_SEH,231203100,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,EDEDUCWSEH,GHDHS1993408004,1993,DHS,491,491,,,1
GHA,Eastern,6463475,Women with secondary or higher education,10.6,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_W_SEH,231203100,I,408005,1408050,Region,Eastern,0,,0,1,EDEDUCWSEH,GHDHS1993408005,1993,DHS,519,519,,,1
GHA,Ashanti,5926122,Women with secondary or higher education,7.7,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_W_SEH,231203100,I,408006,1408060,Region,Ashanti,0,,0,1,EDEDUCWSEH,GHDHS1993408006,1993,DHS,750,750,,,1
GHA,Brong-Ahafo,6802759,Women with secondary or higher education,6.8,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_W_SEH,231203100,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,EDEDUCWSEH,GHDHS1993408007,1993,DHS,469,469,,,1
GHA,"Northern, Upper West, Upper East",5219443,Women with secondary or higher education,4.9,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_W_SEH,231203100,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,EDEDUCWSEH,GHDHS1993408008,1993,DHS,879,879,,,
GHA,Northern (pre 2022),7189532,Women with secondary or higher education,3.4,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_W_SEH,231203100,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,EDEDUCWSEH,GHDHS1993408009,1993,DHS,444,444,,,1
GHA,Upper West,5034375,Women with secondary or higher education,3.1,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_W_SEH,231203100,I,408010,1408100,Region,..Upper West,0,,0,1,EDEDUCWSEH,GHDHS1993408010,1993,DHS,159,159,,,1
GHA,Upper East,855474,Women with secondary or higher education,8.3,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_W_SEH,231203100,I,408011,1408110,Region,..Upper East,0,,0,1,EDEDUCWSEH,GHDHS1993408011,1993,DHS,276,276,,,1
GHA,Western (pre 2022),6858807,Men with secondary or higher education,11,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_M_SEH,231204230,I,408001,1408010,Region,Western (pre 2022),0,,0,1,EDEDUCMSEH,GHDHS1993408001,1993,DHS,100,100,,,1
GHA,Central,4880412,Men with secondary or higher education,16.8,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_M_SEH,231204230,I,408002,1408020,Region,Central,0,,0,1,EDEDUCMSEH,GHDHS1993408002,1993,DHS,101,101,,,1
GHA,Greater Accra,1913893,Men with secondary or higher education,54,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_M_SEH,231204230,I,408003,1408030,Region,Greater Accra,0,,0,1,EDEDUCMSEH,GHDHS1993408003,1993,DHS,150,150,,,1
GHA,Volta (pre 2022),855516,Men with secondary or higher education,18.5,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_M_SEH,231204230,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,EDEDUCMSEH,GHDHS1993408004,1993,DHS,157,157,,,1
GHA,Eastern,6405865,Men with secondary or higher education,22.4,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_M_SEH,231204230,I,408005,1408050,Region,Eastern,0,,0,1,EDEDUCMSEH,GHDHS1993408005,1993,DHS,152,152,,,1
GHA,Ashanti,1514451,Men with secondary or higher education,11.1,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_M_SEH,231204230,I,408006,1408060,Region,Ashanti,0,,0,1,EDEDUCMSEH,GHDHS1993408006,1993,DHS,162,162,,,1
GHA,Brong-Ahafo,6144235,Men with secondary or higher education,22.9,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_M_SEH,231204230,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,EDEDUCMSEH,GHDHS1993408007,1993,DHS,105,105,,,1
GHA,"Northern, Upper West, Upper East",7461558,Men with secondary or higher education,9.9,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_M_SEH,231204230,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,EDEDUCMSEH,GHDHS1993408008,1993,DHS,212,212,,,
GHA,Northern (pre 2022),4959142,Men with secondary or higher education,12.6,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_M_SEH,231204230,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,EDEDUCMSEH,GHDHS1993408009,1993,DHS,119,119,,,1
