ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),5622378,Households with an improved sanitation facility,19.4,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_IMP,250261010,I,408001,1408010,Region,Western (pre 2022),0,,0,1,WSTLETHIMP,GHDHS1993408001,1993,DHS,545,545,,,1
GHA,Central,4825571,Households with an improved sanitation facility,11.5,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_IMP,250261010,I,408002,1408020,Region,Central,0,,0,1,WSTLETHIMP,GHDHS1993408002,1993,DHS,670,670,,,1
GHA,Greater Accra,7689055,Households with an improved sanitation facility,46.4,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_IMP,250261010,I,408003,1408030,Region,Greater Accra,0,,0,1,WSTLETHIMP,GHDHS1993408003,1993,DHS,698,698,,,1
GHA,Volta (pre 2022),2248061,Households with an improved sanitation facility,13.3,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_IMP,250261010,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,WSTLETHIMP,GHDHS1993408004,1993,DHS,519,519,,,1
GHA,Eastern,2447759,Households with an improved sanitation facility,21.3,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_IMP,250261010,I,408005,1408050,Region,Eastern,0,,0,1,WSTLETHIMP,GHDHS1993408005,1993,DHS,773,773,,,1
GHA,Ashanti,6716363,Households with an improved sanitation facility,26.5,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_IMP,250261010,I,408006,1408060,Region,Ashanti,0,,0,1,WSTLETHIMP,GHDHS1993408006,1993,DHS,1079,1079,,,1
GHA,Brong-Ahafo,5097677,Households with an improved sanitation facility,19.6,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_IMP,250261010,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,WSTLETHIMP,GHDHS1993408007,1993,DHS,586,586,,,1
GHA,"Northern, Upper West, Upper East",7543111,Households with an improved sanitation facility,6.8,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_IMP,250261010,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,WSTLETHIMP,GHDHS1993408008,1993,DHS,952,952,,,
GHA,Northern (pre 2022),5042508,Households with an improved sanitation facility,3.4,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_IMP,250261010,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,WSTLETHIMP,GHDHS1993408009,1993,DHS,468,468,,,1
GHA,Upper West,2447767,Households with an improved sanitation facility,13.2,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_IMP,250261010,I,408010,1408100,Region,..Upper West,0,,0,1,WSTLETHIMP,GHDHS1993408010,1993,DHS,174,174,,,1
GHA,Upper East,7123340,Households with an improved sanitation facility,8.4,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_IMP,250261010,I,408011,1408110,Region,..Upper East,0,,0,1,WSTLETHIMP,GHDHS1993408011,1993,DHS,310,310,,,1
