District,Region,Stunting %,Anaemia %,IYCF inadeq %,Diarrhoea %
Gushegu Municipal,Northern,34.58,72.69,84.85,26.75
Karaga,Northern,33.63,74.41,84.2,25.88
Kpandai,Northern,26.3,67.06,89.01,27.93
Kumbungu,Northern,32.1,73.35,85.24,25.07
Mion,Northern,31.89,72.54,88.6,28.43
Nanton,Northern,31.61,72.33,86.51,25.31
Nanumba North Municipal,Northern,29.88,67.98,90.15,28.06
Nanumba South,Northern,30.22,69.25,90.33,31.46
Saboba,Northern,29.78,69.3,85.83,23.37
Savelugu Municipal,Northern,31.76,72.08,84.98,22.62
Tatale Sanguli,Northern,30.92,70.68,88.86,28.67
Tolon,Northern,30.44,72.81,85.2,24.2
Yendi Municipal,Northern,30.03,69.21,86.24,21.65
Zabzugu,Northern,31.41,70.47,89.2,28.46
Central Gonja,Savannah,23.89,66.54,89.55,28.66
North East Gonja,Savannah,24.86,67.04,90.86,32.4
North Gonja,Savannah,24.69,68.26,89.73,30.56
